phone,person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend
iphoneSE,Mara,1,walking,1,27-02-2026,13:57:00,13:57:13,21,13:58:20,13:58:32,22,21,24,1
iphoneSE,Mara,1,walking,1,26-02-2026,14:22:30,14:22:45,22,14:24:01,14:24:14,23,22,23,1
iphoneSE,Mara,1,walking,1,26-02-2026,14:29:36,14:29:49,22,14:30:50,14:31:03,24,22,23,1
iphoneSE,Mara,1,walking,1,27-02-2026,14:03:30,14:03:43,21,14:04:30,14:04:42,22,20,25,1
iphoneSE,Mara,1,walking,1,27-02-2026,14:09:10,14:09:23,21,14:10:00,14:10:11,22,21,23,1
iphoneSE,Mara,1,slow,1,06-03-2026,13:34:10,13:34:37,23,13:36:05,13:36:29,23,30,18,0
iphoneSE,Mara,1,slow,1,06-03-2026,13:38:05,13:38:32,23,13:40:30,13:40:58,24,20,0,1
iphoneSE,Mara,1,slow,1,06-03-2026,13:44:35,13:44:59,22,13:45:30,13:45:59,24,17,8,1
iphoneSE,Mara,1,slow,1,06-03-2026,14:43:25,14:43:45,21,14:44:35,14:44:48,24,32,19,1
iphoneSE,Mara,1,slow,1,06-03-2026,14:46:10,14:46:32,22,14:47:10,14:47:35,23,20,28,1
iphoneSE,Mara,1,running,2,27-02-2026,14:50:40,14:50:55,46,14:51:40,14:51:55,47,45,27,2
iphoneSE,Mara,1,running,2,27-02-2026,14:56:45,14:57:00,44,14:57:45,14:58:00,46,46,31,2
iphoneSE,Mara,1,running,2,06-03-2026,11:59:20,11:59:35,43,12:00:55,12:01:09,46,45,11,2
iphoneSE,Mara,1,running,2,06-03-2026,12:04:30,12:04:45,46,12:05:10,12:05:25,46,43,22,2
iphoneSE,Mara,1,running,2,06-03-2026,12:09:25,12:09:41,47,12:10:15,12:10:29,45,38,2,2
iphoneSE,Mara,1,walking,2,27-02-2026,14:46:30,14:46:58,45,14:48:15,14:48:41,46,45,49,2
iphoneSE,Mara,1,walking,2,27-02-2026,14:53:45,14:54:11,45,14:54:45,14:55:09,47,45,38,2
iphoneSE,Mara,1,walking,2,06-03-2026,12:02:10,12:02:40,45,12:03:07,12:03:36,47,43,50,2
iphoneSE,Mara,1,walking,2,06-03-2026,12:07:15,12:07:45,45,12:08:06,12:08:31,46,49,46,2
iphoneSE,Mara,1,walking,2,06-03-2026,12:11:35,12:12:01,43,12:12:25,12:12:47,45,44,38,2
iphoneSE,Mara,1,slow,2,06-03-2026,13:21:35,13:22:28,45,13:23:40,13:24:30,49,63,28,2
iphoneSE,Mara,1,slow,2,06-03-2026,13:26:40,13:27:33,50,13:28:20,13:29:04,48,57,45,2
iphoneSE,Mara,1,slow,2,06-03-2026,13:30:45,13:31:35,49,13:32:20,13:33:13,51,58,64,2
iphoneSE,Mara,1,slow,2,06-03-2026,14:35:30,14:36:15,46,14:38:07,14:38:52,51,45,50,2
iphoneSE,Mara,1,slow,2,06-03-2026,14:40:15,14:41:01,46,14:41:50,14:42:34,52,50,60,2
iphoneSE,Napoleon,2,running,1,26-02-2026,14:46:00,14:46:05,12,14:47:45,14:47:50,13,22,8,1
iphoneSE,Napoleon,2,running,1,26-02-2026,14:51:30,14:51:35,13,14:52:20,14:52:25,14,20,0,0
iphoneSE,Napoleon,2,running,1,26-02-2026,14:57:15,14:57:20,12,14:57:50,14:57:57,13,26,8,0
iphoneSE,Napoleon,2,running,1,27-02-2026,14:17:05,14:17:09,12,14:18:30,14:18:35,14,6,0,0
iphoneSE,Napoleon,2,running,1,27-02-2026,14:21:35,14:21:40,12,14:23:00,14:23:05,14,10,0,0
iphoneSE,Napoleon,2,walking,1,26-02-2026,14:42:30,14:42:43,22,14:43:45,14:43:55,23,23,19,1
iphoneSE,Napoleon,2,walking,1,26-02-2026,14:49:10,14:49:23,22,14:50:00,14:50:10,24,22,18,1
iphoneSE,Napoleon,2,walking,1,26-02-2026,14:53:25,14:53:37,22,14:54:45,14:54:54,23,20,16,1
iphoneSE,Napoleon,2,walking,1,27-02-2026,14:14:05,14:14:17,22,14:14:45,14:14:55,24,22,18,1
iphoneSE,Napoleon,2,walking,1,27-02-2026,14:19:50,14:20:02,22,14:20:25,14:20:34,22,21,19,1
iphoneSE,Napoleon,2,slow,1,06-03-2026,13:51:40,13:52:04,23,13:52:30,13:52:47,23,22,24,1
iphoneSE,Napoleon,2,slow,1,06-03-2026,13:57:20,13:57:38,23,13:58:00,13:58:17,23,20,25,1
iphoneSE,Napoleon,2,slow,1,06-03-2026,14:02:15,14:02:32,23,14:02:55,14:03:11,23,26,26,1
iphoneSE,Napoleon,2,slow,1,06-03-2026,15:03:20,15:03:39,23,15:04:10,15:04:25,23,13,25,1
iphoneSE,Napoleon,2,slow,1,06-03-2026,15:09:35,15:09:52,23,15:10:20,15:10:35,23,33,25,1
iphoneSE,Napoleon,2,running,2,27-02-2026,15:03:15,15:03:26,25,15:04:05,15:04:16,26,21,17,2
iphoneSE,Napoleon,2,running,2,27-02-2026,15:08:00,15:08:11,24,15:08:40,15:08:50,26,16,22,0
iphoneSE,Napoleon,2,running,2,06-03-2026,11:47:00,11:47:10,24,11:47:45,11:47:56,27,14,23,0
iphoneSE,Napoleon,2,running,2,06-03-2026,11:51:55,11:52:06,24,11:52:45,11:52:56,27,22,23,2
iphoneSE,Napoleon,2,running,2,06-03-2026,11:56:45,11:56:55,24,11:57:25,11:57:36,27,22,13,2
iphoneSE,Napoleon,2,walking,2,27-02-2026,15:00:35,15:01:01,44,15:02:00,15:02:19,46,43,36,2
iphoneSE,Napoleon,2,walking,2,27-02-2026,15:05:30,15:05:54,44,15:06:25,15:06:42,44,45,32,2
iphoneSE,Napoleon,2,walking,2,06-03-2026,11:44:00,11:44:25,44,11:45:25,11:45:46,47,42,42,2
iphoneSE,Napoleon,2,walking,2,06-03-2026,11:49:10,11:49:35,44,11:50:30,11:50:48,48,45,32,2
iphoneSE,Napoleon,2,walking,2,06-03-2026,11:54:10,11:54:34,44,11:55:26,11:55:42,44,44,10,2
iphoneSE,Napoleon,2,slow,2,06-03-2026,13:54:00,13:54:46,49,13:55:15,13:55:50,47,47,44,2
iphoneSE,Napoleon,2,slow,2,06-03-2026,13:59:35,14:00:15,47,14:00:45,14:01:19,47,43,50,2
iphoneSE,Napoleon,2,slow,2,06-03-2026,14:04:15,14:04:52,47,14:07:15,14:07:48,47,47,49,2
iphoneSE,Napoleon,2,slow,2,06-03-2026,15:05:30,15:06:04,47,15:06:35,15:07:08,48,43,48,2
iphoneSE,Napoleon,2,slow,2,06-03-2026,15:12:10,15:12:47,48,15:13:15,15:13:47,47,52,51,2
iphoneSE,Yasmin,3,running,1,26-02-2026,15:04:30,15:04:37,22,15:05:25,15:05:33,22,21,12,1
iphoneSE,Yasmin,3,running,1,26-02-2026,15:10:10,15:10:17,22,15:11:10,15:11:18,22,10,10,1
iphoneSE,Yasmin,3,running,1,26-02-2026,15:16:10,15:16:16,22,15:17:30,15:17:37,22,19,0,1
iphoneSE,Yasmin,3,running,1,27-02-2026,13:41:55,13:42:02,22,13:43:25,13:43:32,21,6,7,0
iphoneSE,Yasmin,3,running,1,27-02-2026,13:50:00,13:50:07,22,13:51:50,13:51:57,21,0,9,0
iphoneSE,Yasmin,3,walking,1,26-02-2026,15:02:00,15:02:12,21,15:02:45,15:02:57,22,19,24,1
iphoneSE,Yasmin,3,walking,1,26-02-2026,15:07:55,15:08:06,21,15:09:00,15:09:11,21,20,20,1
iphoneSE,Yasmin,3,walking,1,26-02-2026,15:12:30,15:12:42,22,15:13:30,15:13:41,21,21,21,1
iphoneSE,Yasmin,3,walking,1,27-02-2026,13:38:30,13:38:42,21,13:39:30,13:39:42,21,21,21,1
iphoneSE,Yasmin,3,walking,1,27-02-2026,13:47:30,13:47:42,21,13:48:20,13:48:32,22,22,23,1
iphoneSE,Yasmin,3,slow,1,06-03-2026,13:10:50,13:11:11,22,13:12:10,13:12:33,22,27,34,1
iphoneSE,Yasmin,3,slow,1,06-03-2026,13:14:40,13:15:03,23,13:16:10,13:16:34,24,20,30,1
iphoneSE,Yasmin,3,slow,1,06-03-2026,13:17:50,13:18:14,22,13:18:45,13:19:10,26,38,25,1
iphoneSE,Yasmin,3,slow,1,06-03-2026,14:56:55,14:57:14,22,14:58:15,14:58:31,24,30,27,1
iphoneSE,Yasmin,3,slow,1,06-03-2026,15:00:10,15:00:24,22,15:01:50,15:02:09,24,22,25,1
iphoneSE,Yasmin,3,running,2,27-02-2026,15:14:00,15:14:16,46,15:14:55,15:15:11,48,38,9,2
iphoneSE,Yasmin,3,running,2,27-02-2026,15:20:05,15:20:20,45,15:20:55,15:21:11,46,40,11,2
iphoneSE,Yasmin,3,running,2,06-03-2026,11:30:20,11:30:36,44,11:31:15,11:31:32,47,36,27,2
iphoneSE,Yasmin,3,running,2,06-03-2026,11:35:50,11:36:05,44,11:36:45,11:37:01,45,30,1,2
iphoneSE,Yasmin,3,running,2,06-03-2026,11:41:45,11:41:58,43,11:42:30,11:42:45,44,42,25,2
iphoneSE,Yasmin,3,walking,2,27-02-2026,15:11:15,15:11:40,42,15:12:15,15:12:38,45,43,45,2
iphoneSE,Yasmin,3,walking,2,27-02-2026,15:17:40,15:18:05,42,15:18:35,15:18:58,46,44,49,2
iphoneSE,Yasmin,3,walking,2,06-03-2026,11:27:30,11:27:55,43,11:28:30,11:28:57,46,44,48,2
iphoneSE,Yasmin,3,walking,2,06-03-2026,11:32:30,11:32:57,43,11:33:35,11:34:02,46,35,45,2
iphoneSE,Yasmin,3,walking,2,06-03-2026,11:38:50,11:39:16,43,11:40:05,11:40:31,46,36,47,2
iphoneSE,Yasmin,3,slow,2,06-03-2026,12:41:10,12:41:43,50,12:42:20,12:42:59,51,33,53,2
iphoneSE,Yasmin,3,slow,2,06-03-2026,12:45:05,12:45:46,48,12:46:35,12:47:15,52,48,67,2
iphoneSE,Yasmin,3,slow,2,06-03-2026,12:49:00,12:49:43,46,12:52:05,12:52:54,53,42,78,2
iphoneSE,Yasmin,3,slow,2,06-03-2026,14:49:20,14:50:06,46,14:51:00,14:51:47,53,52,50,3
