person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend,floor yasmin,,floor marjolein
Yasmin,3,walking,1,26-02-2026,15:02:00,15:02:12,21,15:02:45,15:02:57,22,20,20,1,,,
Yasmin,3,walking,1,26-02-2026,15:07:55,15:08:06,21,15:09:00,15:09:11,21,20,23,1,,,
Yasmin,3,walking,1,26-02-2026,15:12:30,15:12:42,22,15:13:30,15:13:41,21,19,21,1,,,
Yasmin,3,walking,1,27-02-2026,13:38:30,13:38:42,21,13:39:30,13:39:42,21,22,22,1,,,
Yasmin,3,walking,1,27-02-2026,13:47:30,13:47:42,21,13:48:20,13:48:32,22,20,23,1,,,
Yasmin,3,slow,1,06-03-2026,13:10:50,13:11:11,22,13:12:10,13:12:33,22,,,,1,,1
Yasmin,3,slow,1,06-03-2026,13:14:40,13:15:03,23,13:16:10,13:16:34,24,,,,1,,1
Yasmin,3,slow,1,06-03-2026,13:17:50,13:18:14,22,13:18:45,13:19:10,26,,,,1,,1
Yasmin,3,slow,1,06-03-2026,14:56:55,14:57:14,22,14:58:15,14:58:31,24,,,,1,,1
Yasmin,3,slow,1,06-03-2026,15:00:10,15:00:24,22,15:01:50,15:02:09,24,,,,1,,1
Yasmin,3,running,2,27-02-2026,15:14:00,15:14:16,46,15:14:55,15:15:11,48,32,28,"1,1",,,
Yasmin,3,running,2,27-02-2026,15:20:05,15:20:20,45,15:20:55,15:21:11,46,46,10,"1,1",,,
Yasmin,3,running,2,06-03-2026,11:30:20,11:30:36,44,11:31:15,11:31:32,47,,,,"1,1",,"1,1"
Yasmin,3,running,2,06-03-2026,11:35:50,11:36:05,44,11:36:45,11:37:01,45,,,,"1,1",,"1,1"
Yasmin,3,running,2,06-03-2026,11:41:45,11:41:58,43,11:42:30,11:42:45,44,,,,"1,1",,"1,1"
Yasmin,3,walking,2,27-02-2026,15:11:15,15:11:40,42,15:12:15,15:12:38,45,42,47,"1,1",,,
Yasmin,3,walking,2,27-02-2026,15:17:40,15:18:05,42,15:18:35,15:18:58,46,43,45,"1,1",,,
Yasmin,3,walking,2,06-03-2026,11:27:30,11:27:55,43,11:28:30,11:28:57,46,,,,"1,1",,"1,1"
Yasmin,3,walking,2,06-03-2026,11:32:30,11:32:57,43,11:33:35,11:34:02,46,,,,"1,1",,"1,1"
Yasmin,3,walking,2,06-03-2026,11:38:50,11:39:16,43,11:40:05,11:40:31,46,,,,"1,1",,"1,1"
Yasmin,3,slow,2,06-03-2026,12:41:10,12:41:43,50,12:42:20,12:42:59,51,,,,"1,1",,"1,1"
Yasmin,3,slow,2,06-03-2026,12:45:05,12:45:46,48,12:46:35,12:47:15,52,,,,"1,1",,"1,1"
Yasmin,3,slow,2,06-03-2026,12:49:00,12:49:43,46,12:52:05,12:52:54,53,,,,"1,1",,"1,1"
Yasmin,3,slow,2,06-03-2026,14:49:20,14:50:06,46,14:51:00,14:51:47,53,,,,"1,1",,3
Yasmin,3,slow,2,06-03-2026,14:53:35,14:54:17,49,14:55:15,14:55:56,52,,,,"1,1",,"1,1"
Marjolein,4,running,1,27-02-2026,14:27:55,14:28:02,24,14:29:45,14:29:51,25,6,12,0,,,
Marjolein,4,running,1,27-02-2026,14:33:25,14:33:31,25,14:34:10,14:34:15,24,0,9,0,,,
Marjolein,4,running,1,27-02-2026,14:39:25,14:39:31,25,14:40:45,14:40:51,24,18,7,0,,,
Marjolein,4,running,1,27-02-2026,15:26:00,15:26:06,24,15:27:20,15:27:25,22,0,14,0,,,
Marjolein,4,running,1,27-02-2026,15:32:20,15:32:26,24,15:34:20,15:34:26,21,0,0,0,,,
Marjolein,4,walking,1,27-02-2026,14:25:49,14:26:03,22,14:26:45,14:26:57,22,21,23,1,,,
Marjolein,4,walking,1,27-02-2026,14:31:40,14:31:53,23,14:32:30,14:32:42,23,21,23,1,,,
